product_id,tot_consum_loss,mark_size,region,product
4835133,273087.77999999997,5,se,headphones
4944169,445449.58,5,se,headphones
4963621,212388.8,5,se,headphones
5308386,29732.45000000001,5,se,headphones
5459091,175297.73,5,se,headphones
5604090,114517,5,se,headphones
5701013,237970.88,5,se,headphones
74603,171916.22,6,se,headphones
74608,196600,6,se,headphones
3387913,57266,6,se,headphones
3481140,61428,6,se,headphones
3757965,13026.08,6,se,headphones
3761923,127606,6,se,headphones
3938091,44427.45,6,se,headphones
3965203,25880.8,6,se,headphones
4390631,32301.36,6,se,headphones
4402499,214854,6,se,headphones
4861176,184215,6,se,headphones
5270893,404129.13,6,se,headphones
5277551,140366.41,6,se,headphones
5459100,203270.38,6,se,headphones
5597629,67540.44,6,se,headphones
5628595,55829.78,6,se,headphones
5629036,99733.83,6,se,headphones
5710777,701344,6,se,headphones
74606,174449,7,se,headphones
484666,162633,7,se,headphones
697605,326487.1,7,se,headphones
700049,467923.49,7,se,headphones
2960679,333477,7,se,headphones
3047555,9695.37,7,se,headphones
3466911,376164,7,se,headphones
3763722,157758.46,7,se,headphones
3767462,148456,7,se,headphones
3801261,56304,7,se,headphones
3892114,130286.22,7,se,headphones
4486854,90975.68,7,se,headphones
5204293,334203,7,se,headphones
5283118,62338,7,se,headphones
5286494,60208.19,7,se,headphones
5343970,109199.59,7,se,headphones
5344212,30544.140000000003,7,se,headphones
5567300,263429.85,7,se,headphones
5586318,351609.1,7,se,headphones
5591815,209238.6,7,se,headphones
5595811,20939.02,7,se,headphones
5726561,193811.58,7,se,headphones
589062,413853.49,8,se,headphones
3273478,172930.27,8,se,headphones
3767460,348735.22000000003,8,se,headphones
3829327,303815.84,8,se,headphones
3886504,258073.62,8,se,headphones
4374711,225801.24,8,se,headphones
4679956,232713.58999999997,8,se,headphones
4811365,141800.18,8,se,headphones
4856753,41719.19,8,se,headphones
4968827,39519,8,se,headphones
4989697,203061.56,8,se,headphones
5087985,93640.97,8,se,headphones
5264062,112004.17,8,se,headphones
5322127,218963.8,8,se,headphones
5346410,97258.35,8,se,headphones
5474686,71373.86,8,se,headphones
5583225,56361,8,se,headphones
5599511,135081.62,8,se,headphones
5609580,430890,8,se,headphones
5701007,515241.82,8,se,headphones
3770768,44261.26,9,se,headphones
3834633,45345.18,9,se,headphones
3942346,135785.13,9,se,headphones
4973623,45435.76,9,se,headphones
5240278,70853.31,9,se,headphones
5471851,8851,9,se,headphones
5701221,326254.1,9,se,headphones
3835350,564530.88,10,se,headphones
4024034,22104,10,se,headphones
4400338,68279,10,se,headphones
5475526,92911.67,10,se,headphones
5765859,120461.02,10,se,headphones
5790487,172342,10,se,headphones
2821312,240150.17,11,se,headphones
3245217,25602.6,11,se,headphones
5459098,190943.56,11,se,headphones
2982204,161676.43,12,se,headphones
4043974,218099.51000000004,12,se,headphones
4469101,588703.74,12,se,headphones
4875756,84175.55,12,se,headphones
4924285,88998.83,12,se,headphones
5039954,89762.07,12,se,headphones
5783520,96940.65000000004,12,se,headphones
5474775,29644,13,se,headphones
4861555,283327.4,14,se,headphones
5061589,57650.71,14,se,headphones
5080235,68377.96,14,se,headphones
5198622,1175548.4,14,se,headphones
5264076,181974,14,se,headphones
5343820,62499.17,14,se,headphones
5725712,68847.9,14,se,headphones
445737,76839.98,15,se,headphones
3310498,174445,15,se,headphones
4712526,99266.18,15,se,headphones
5351147,348688,15,se,headphones
5668640,165452.3,15,se,headphones
702899,370936.32,16,se,headphones
3556026,679789.7799999999,16,se,headphones
4864019,26942,16,se,headphones
4975191,116496.53,16,se,headphones
5277547,135320,16,se,headphones
5459093,260949.78,16,se,headphones
5733685,199137.89,16,se,headphones
5787596,191868,16,se,headphones
4578591,421754.69,17,se,headphones
5785262,410508,17,se,headphones
519651,56161.85,18,se,headphones
3650653,81206.1,18,se,headphones
5033868,52516.329999999994,18,se,headphones
5196015,134160,18,se,headphones
4779863,185227,19,se,headphones
4815513,219528.35,19,se,headphones
4865552,227041.24,19,se,headphones
5343789,67314,19,se,headphones
4864606,95083.64,20,se,headphones
4892427,168267.35,20,se,headphones
5599771,130277.4,20,se,headphones
